route_id,route_type,veh,lat,lon
ASC A Line,LR,2,485096.9697,-818375.2616
1,L,3,466928.4227,-796701.9073
102,L,3,500778.1299,-816983.3156
103,L,2,521350.3414,-752485.5351
104,L,1,517794.4262,-765363.0943
107,L,7,533965.9162,-813899.3709
110,L,7,500395.2478,-781138.2294
111,L,9,562932.4951,-836725.1842
114,L,3,521550.4233,-843352.482
115,L,7,569187.063,-836090.4394
116,L,7,573838.4444,-838871.0933
117,L,10,551564.9269,-838194.9923
119,L,4,527166.8222,-812849.7592
12,L,9,474492.4787,-787324.1554
120,L,5,547836.7343,-798263.3425
121,L,8,543844.0277,-784407.0569
123,L,2,519332.8162,-799222.7366
124,L,3,539330.6506,-783317.7464
125,L,3,524714.8471,-784562.1383
126,L,2,527611.9319,-784960.959
132,L,2,510956.9268,-745151.5321
133,L,2,527011.9255,-786100.3937
14,L,3,466928.4227,-796701.9073
140,L,3,494408.725,-750007.0817
141,L,5,522562.0283,-697944.3981
142,L,2,523428.5436,-741351.9284
143,L,9,522562.0283,-697944.3981
148,L,1,496428.0165,-755079.8616
15,L,9,532803.6196,-856313.4646
150,L,3,498326.0974,-758905.7116
153,L,2,461881.2753,-820649.384
155,L,3,484693.2936,-841809.8745
162,L,2,466412.1888,-839078.5857
165,L,4,446456.4636,-833552.0551
172,L,2,468703.1947,-858055.7301
178,L,3,487849.7663,-847084.7609
180,L,4,402530.9947,-908375.2821
181,L,7,428662.739,-890218.3125
183,L,2,450743.7526,-844825.3882
185,L,4,494408.725,-750007.0817
186,L,7,539427.8131,-833743.8257
189,L,5,449783.9025,-882238.9672
19,L,4,513496.4493,-812293.3797
191,L,5,496331.0151,-911083.3957
192,L,3,496331.0151,-911083.3957
193,L,6,496331.0151,-911083.3957
194,L,3,498936.4692,-886199.8228
195,L,2,517017.0252,-863926.183
196,L,10,482992.154,-887502.2362
2,L,2,508976.7897,-816087.8574
201,L,9,461527.5775,-820627.5537
21,L,7,485003.7097,-820434.2782
221,E,3,547836.7343,-798263.3425
24,L,3,500778.1299,-816983.3156
25,L,2,517794.4262,-765363.0943
26,L,4,459005.0865,-800032.1634
27,L,3,486381.0278,-807403.1579
295,E,2,474125.6907,-840107.3031
3,L,3,461881.2753,-820649.384
30,L,3,527011.9255,-786100.3937
32,L,4,516391.4815,-867727.9414
34,L,3,521550.4233,-843352.482
36,L,4,486560.72,-810397.1155
37,L,3,466928.4227,-796701.9073
39,L,7,517794.4262,-765363.0943
4,L,2,496747.0215,-818797.8228
40,L,3,478740.6474,-827106.1995
42,L,3,474125.6907,-840107.3031
47,L,2,500395.2478,-781138.2294
49,L,6,502127.0114,-843942.695
5,L,8,498326.0974,-758905.7116
50,L,3,486475.0617,-813772.115
51,L,4,461881.2753,-820649.384
55,L,7,497865.283,-870729.2077
58,L,3,459293.8894,-800084.7611
6,L,8,496747.0215,-818797.8228
60,L,2,466928.4227,-796701.9073
66,L,4,451843.1221,-856240.9329
68,L,5,477462.7234,-819732.692
71,L,8,442925.8611,-828281.5692
73,L,10,433038.4386,-827795.7388
74,L,3,521877.9328,-835289.1474
75,L,5,518238.7777,-811852.3475
78,L,5,492793.1298,-847063.7403
79,L,2,470973.7039,-848987.4445
8,L,3,518105.1651,-812273.1534
800,L,1,496331.0151,-911083.3957
809,L,4,490016.6029,-821754.1715
81,L,4,470973.7039,-848987.4445
813,L,3,469231.4033,-820969.846
816,L,4,485140.1316,-820543.4508
82,L,8,429539.9984,-868164.9855
823,L,1,520890.9666,-821100.8546
825,L,1,496441.0159,-762752.6101
83,L,6,450743.7526,-844825.3882
832,L,2,497163.9212,-834320.7356
84,L,4,449109.7992,-858448.5535
85,L,4,494408.725,-750007.0817
850,L,3,453747.4274,-802967.713
853,L,3,469231.4033,-820969.846
856,L,2,448111.5426,-818954.7234
86,L,7,562932.4951,-836725.1842
865,L,2,444172.9012,-823891.3592
867,L,3,461881.2753,-820649.384
87,L,6,498326.0974,-758905.7116
89,L,7,482851.6044,-888466.1549
899,L,3,486694.7188,-821825.5316
9,L,4,521859.4362,-835351.4491
93,L,3,452010.3377,-851567.4472
94,L,3,478740.6474,-827106.1995
95,L,5,483427.0842,-856543.3801
BLUE,HR,8,461805.9395,-820542.7897
GOLD,HR,10,469454.2306,-862115.2509
GREEN,HR,4,500517.0317,-817237.5687
RED,HR,10,494409.8641,-750388.1358
