route_id,route_type,veh,lat,lon
ASC A Line,LR,2,2228101.36721141,1367595.62829774
1,L,3,2210215.28552958,1389444.57803807
102,L,3,2243922.3398345,1368679.94076166
103,L,2,2265884.71224825,1432283.40738649
104,L,1,2262054.61196883,1419574.99776399
107,L,7,2277408.95265116,1371110.03268624
110,L,7,2244224.45241924,1404253.7406769
111,L,9,2306142.34039425,1347908.07384091
114,L,3,2264336.982076,1342119.17892265
115,L,7,2312453.89962149,1348418.58430282
116,L,7,2317084.55440216,1345570.39052416
117,L,10,2294665.13073716,1346666.26530091
119,L,4,2270580.99780316,1372280.79051533
12,L,9,2218013.65904041,1398606.39960941
120,L,5,2291682.12161133,1386360.84995357
121,L,8,2287928.10845008,1400185.1405464
123,L,2,2262952.6285455,1385950.9997234
124,L,3,2283402.78515166,1401351.8429374
125,L,3,2268656.14994683,1400395.1027249
126,L,2,2271566.72220966,1399944.34411199
132,L,2,2255555.35167341,1439756.65556332
133,L,2,2270940.37503716,1398825.21544474
14,L,3,2210215.28552958,1389444.57803807
140,L,3,2238791.06630441,1435253.33779832
141,L,5,2268156.19983125,1486365.8559799
142,L,2,2268192.79818324,1443289.28826182
143,L,9,2268156.19983125,1486365.8559799
148,L,1,2240728.01223366,1430182.41191657
15,L,9,2275420.54783533,1329043.09811949
150,L,3,2242566.72476358,1426350.79786065
153,L,2,2204674.73853983,1365777.63915157
155,L,3,2227246.43650658,1344348.51075007
162,L,2,2208886.79638866,1347404.32255182
165,L,4,2188893.25894799,1353264.81575207
172,L,2,2210832.17012258,1328528.45151099
178,L,3,2230324.50449741,1339054.17127316
180,L,4,2143240.74100124,1279830.06728066
181,L,7,2169898.03709599,1297361.99087816
183,L,2,2192996.864914,1341996.85370799
185,L,4,2238791.06630441,1435253.33779832
186,L,7,2282527.24359566,1351314.44465283
189,L,5,2191318.80691841,1304884.38757874
19,L,4,2256822.56665866,1373092.47196282
191,L,5,2237640.21296308,1275376.55092524
192,L,3,2237640.21296308,1275376.55092524
193,L,6,2237640.21296308,1275376.55092524
194,L,3,2240740.46201191,1300025.0928354
195,L,2,2259375.69180175,1321788.03487374
196,L,10,2224659.624423,1299034.11154965
2,L,2,2252197.35018733,1369413.05642141
201,L,5,2204318.90493391,1365805.97505291
21,L,7,2227968.03447283,1365554.24589758
221,E,3,2291682.12161133,1386360.84995357
24,L,3,2243922.3398345,1368679.94076166
25,L,2,2262054.61196883,1419574.99776399
26,L,4,2202170.72747175,1386289.74412466
27,L,3,2229604.70803675,1378458.65348765
295,E,2,2216635.84749158,1346237.81799507
3,L,3,2204674.73853983,1365777.63915157
30,L,3,2270940.37503716,1398825.21544474
32,L,4,2258672.64826033,1318026.92100491
34,L,3,2264336.982076,1342119.17892265
36,L,4,2229728.39020408,1375484.46750691
37,L,3,2210215.28552958,1389444.57803807
39,L,7,2262054.61196883,1419574.99776399
4,L,2,2239827.35622658,1366955.80149341
40,L,3,2221532.28454908,1359052.08862633
42,L,3,2216635.84749158,1346237.81799507
47,L,2,2244224.45241924,1404253.7406769
49,L,6,2244763.72889975,1341901.93952774
5,L,8,2242566.72476358,1426350.79786065
50,L,3,2229577.50894416,1372137.17728549
51,L,4,2204674.73853983,1365777.63915157
55,L,7,2239958.21292024,1315399.54896307
58,L,3,2202460.62977908,1386232.10546041
6,L,8,2239827.35622658,1366955.80149341
60,L,2,2210215.28552958,1389444.57803807
66,L,4,2193886.92087666,1330647.42102632
68,L,5,2220386.0876945,1366393.0171859
71,L,8,2185437.45582024,1358561.38914841
73,L,10,2175488.06430174,1359229.54660474
74,L,3,2264822.00341566,1350114.60420474
75,L,5,2261607.65026433,1373440.07920724
78,L,5,2235303.49158666,1338981.48375449
79,L,2,2213291.83908775,1337484.94967407
8,L,3,2261464.97666516,1373025.06396116
800,L,1,2237640.21296308,1275376.55092524
809,L,4,2232991.784924,1364149.6673419
81,L,4,2213291.83908775,1337484.94967407
813,L,3,2212071.77197408,1365320.90220416
816,L,4,2228103.35080324,1365443.33371782
82,L,8,2171199.21822066,1319233.20894665
823,L,1,2264101.01141933,1364212.61012941
825,L,1,2240593.91407666,1422569.94682657
83,L,6,2192996.864914,1341996.85370799
832,L,2,2239949.67389533,1351544.32280199
84,L,4,2191092.19483883,1328508.03029199
85,L,4,2238791.06630441,1435253.33779832
850,L,3,2196818.88778175,1383476.13032933
853,L,3,2212071.77197408,1365320.90220416
856,L,2,2190837.86365458,1367718.87181766
86,L,7,2306142.34039425,1347908.07384091
865,L,2,2186776.92066099,1362894.40574482
867,L,3,2204674.73853983,1365777.63915157
87,L,6,2242566.72476358,1426350.79786065
89,L,7,2224499.66969041,1298080.07375957
899,L,3,2229644.6046105,1364141.71788274
9,L,4,2264802.17537133,1350053.13123057
93,L,3,2194144.22974525,1335282.25919757
94,L,3,2221532.28454908,1359052.08862633
95,L,5,2225689.43633975,1329751.1633044
BLUE,HR,8,2204600.89124658,1365884.83414716
GOLD,HR,10,2211511.09593008,1324485.52455749
GREEN,HR,4,2243654.480134,1368432.59742432
RED,HR,10,2238784.9052275,1434875.27785891
Summerhill BRT,BRT,4,2226821.44326208,1371779.32399857
Cambellton BRT,BRT,5,2218085.54111449,1353318.48592032
Clayton BRT,BRT,8,2208556.84298033,1320334.50005116
