route_id,2-Laredo,3-Perry,6-Hamilton,8-Kmart
ASC A Line,18.14,10.5,17.52,20.55
1,27.88,8.61,27.39,30.96
102,10.49,17.9,20.96,24.53
103,17.95,33.99,35.74,35.81
104,15.52,30.29,33.31,33.38
107,9.22,31.71,23.77,23.84
110,18.71,23.76,34.52,37.87
111,22.31,33.22,25.28,25.34
114,16.12,27.13,16.78,16.85
115,22.22,34.28,26.33,26.4
116,25.46,36.37,28.42,28.49
117,18.75,29.67,21.72,21.78
119,6.61,27.68,22.98,23.04
12,25.17,15.5,29.34,31.94
120,11.92,34.67,28.35,28.41
121,11.67,33.69,29.5,29.56
123,6.14,26.7,27.19,27.25
124,12.1,34.21,29.89,29.96
125,9.78,27.63,27.56,27.63
126,8.69,29.58,26.48,26.54
132,20.11,34.74,37.9,37.97
133,9.15,29.41,26.94,27
14,27.88,8.61,27.39,30.96
140,23.51,29.32,41.23,41.36
141,35.38,41.16,53.07,53.24
142,22.97,39.01,40.76,40.82
143,35.38,41.16,53.07,53.24
148,19.94,27.34,37.73,37.8
15,24.02,36.03,24.14,24.21
150,20.28,28.7,38.08,38.14
153,26.66,12.61,22.45,25.81
155,25.73,20.07,9.12,14.06
162,28.38,19.39,15.26,18.3
165,33.26,18.44,23.06,23.6
172,32.12,24.37,13.66,16.37
178,25.04,21.73,4.19,10.77
180,45.95,40.64,31.47,30.5
181,39.65,34.34,25.17,24.2
183,32.32,18.62,18.02,19.43
185,23.51,29.32,41.23,41.36
186,14.72,28.02,19.24,19.31
189,34.33,29.01,19.85,18.88
19,5.08,22.65,26.14,26.73
191,40.35,39.37,23.08,15.67
192,40.35,39.37,23.08,15.67
193,40.35,39.37,23.08,15.67
194,34.11,34.12,17.84,10.69
195,24.13,33.39,16.1,15.1
196,32.55,31.29,15.01,7.87
2,7.6,21.02,24.72,26.55
201,26.63,12.58,22.42,25.55
21,18.63,11.44,15.97,18.55
221,11.92,34.67,28.35,28.41
24,10.49,17.9,20.96,24.53
25,15.52,30.29,33.31,33.38
26,31,7.58,28.05,28.42
27,19.69,11.46,22.39,25.52
295,25.38,16.39,12.03,15.07
3,26.66,12.61,22.45,25.81
30,9.15,29.41,26.94,27
32,28.38,37.63,20.35,19.34
34,16.12,27.13,16.78,16.85
36,18.23,10.71,20.93,23.89
37,27.88,8.61,27.39,30.96
39,15.52,30.29,33.31,33.38
4,13.43,16.48,18.46,21.9
40,20.97,12.1,15.05,18.62
42,25.38,16.39,12.03,15.07
47,18.71,23.76,34.52,37.87
49,20.35,25.5,12.52,14.26
5,20.28,28.7,38.08,38.14
50,16.58,10.43,18.98,21.91
51,26.66,12.61,22.45,25.81
55,25.91,30.8,11.1,5.32
58,30.81,7.39,28.22,28.6
6,13.43,16.48,18.46,21.9
60,27.88,8.61,27.39,30.96
66,32.74,21.53,18.4,17.29
68,21.55,8.18,17.58,21.14
71,33.99,19.18,24.04,24.33
73,35.03,21.01,29.08,29.14
74,13.42,23.82,16.83,16.9
75,2.82,24.66,26.53,26.6
78,23.66,22.3,5.72,11.07
79,29.76,21.14,12.08,15.77
8,3.18,23.57,25.83,25.9
800,40.35,39.37,23.08,15.67
809,16.01,14.05,16.08,19.51
81,29.76,21.14,12.08,15.77
813,23.2,9.44,19,22.56
816,18.51,11.57,15.85,18.42
82,37.18,31.1,22.92,21.72
823,8.91,24.38,23.79,23.91
825,21.13,27.91,38.92,38.98
83,32.32,18.62,18.02,19.43
832,17.25,20.28,12.47,16.06
84,34.07,22.85,19.73,18.62
85,23.51,29.32,41.23,41.36
850,35.55,16.26,31.34,31.72
853,23.2,9.44,19,22.56
856,30.38,16.08,25.53,25.82
86,22.31,33.22,25.28,25.34
865,32.76,18.46,27.5,27.78
867,26.66,12.61,22.45,25.81
87,20.28,28.7,38.08,38.14
89,33.57,32.31,16.03,8.89
899,17.37,12.84,14.68,18.11
9,13.1,23.5,16.51,16.57
93,36.13,22.43,19.69,23.24
94,20.97,12.1,15.05,18.62
95,26.79,24.22,5.56,9.77
BLUE,25.8,11.28,21.58,25.15
GOLD,32.68,28.24,16.04,17.23
GREEN,10.46,17.44,20.5,24.06
RED,23.77,29.59,41.5,41.62
Summerhill BRT,18.07,8.82,19.12,22.12
Cambellton BRT,22.99,14.01,13.34,17.03
Clayton BRT,28.91,25.05,13.1,13.45
