Bus_ID,Count,pct_Garage,Length,Year,Age,Make,Wgtd_Age,Div
2428-2463,3,0.013,40',2006,12,NewFlyer (CNG),0.2,A
2301-2355,4,0.018,35',2004,14,New Flyer (Diesel),0.2,A
2491-2495,5,0.022,40',2009,9,NewFlyer (CNG),0.2,A
2501-2596,46,0.204,40',2010,8,New Flyer (CNG),1.6,A
1401 - 1440,40,0.178,40',2013,5,New Flyer (CNG),0.9,A
1481 - 1488,0,0,35',2013,5,New Flyer (CNG),0,A
1501-1559,59,0.262,40',2014,4,New Flyer (CNG),1,A
1601-1688,50,0.222,40',2015,3,New Flyer (CNG),0.7,A
1701-1718,18,0.08,60',2016,2,New Flyer (CNG),0.2,A
2411-2454,4,0.022,40',2006,12,New Flyer (CNG),0.3,B
2301-2355,11,0.061,35',2004,14,New Flyer (Diesel),0.9,B
2501-2596,50,0.276,40',2010,8,New Flyer (CNG),2.2,B
1441 - 1480,40,0.221,40',2013,5,New Flyer (CNG),1.1,B
1481 - 1488,8,0.044,35',2013,5,New Flyer (CNG),0.2,B
1560-1589,30,0.166,40',2014,4,New Flyer (CNG),0.7,B
1601-1688,38,0.21,40',2015,3,New Flyer (CNG),0.6,B
1701-1718,0,0,60',2016,2,New Flyer (CNG),0,B
2301-2355,28,0.189,35',2004,14,New Flyer (Diesel),2.6,C
2356-2410,26,0.176,40',2005,13,New Flyer (Diesel),2.3,C
1601-1688,0,0,40',2015,3,New Flyer (CNG),0,C
1721-1730,10,0.068,30',2017,1,Grande West (Diesel),0.1,C
1701-1708,0,0,60',2016,2,New Flyer (CNG),0,C
1801-1855,55,0.372,40',2018,0,Gillig (Diesel),0,C
1856-1885,29,0.196,40',2018,0,Gillig (Diesel),0,C
